[2026-02-10T21:07:45.555+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T21:07:45.580+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio manual__2026-02-10T21:06:18.622494+00:00 [queued]>
[2026-02-10T21:07:45.589+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio manual__2026-02-10T21:06:18.622494+00:00 [queued]>
[2026-02-10T21:07:45.591+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T21:07:45.603+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-10 21:06:18.622494+00:00
[2026-02-10T21:07:45.612+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'manual__2026-02-10T21:06:18.622494+00:00', '--job-id', '50', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpgd1m2a99']
[2026-02-10T21:07:45.616+0000] {standard_task_runner.py:91} INFO - Job 50: Subtask download_minio
[2026-02-10T21:07:45.616+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=53218) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T21:07:45.617+0000] {standard_task_runner.py:64} INFO - Started process 53238 to run task
[2026-02-10T21:07:45.695+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio manual__2026-02-10T21:06:18.622494+00:00 [running]> on host f0a140ed2a8b
[2026-02-10T21:07:45.775+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T21:06:18.622494+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-10T21:06:18.622494+00:00'
[2026-02-10T21:07:45.777+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T21:07:46.676+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600462546.parquet -> /tmp/minio_downloads/customers_143600462546.parquet
[2026-02-10T21:07:46.718+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143600602074.parquet -> /tmp/minio_downloads/customers_143600602074.parquet
